Username,Sample_Times,Median_Time,Status_Code
root,"1.4577, 0.9519, 1.0720",1.0720,404
admin,"1.0113, 0.9445, 0.9516",0.9516,404
test,"1.1278, 1.0317, 1.1634",1.1278,404
guest,"6.0415, 0.8724, 1.1080",1.1080,404
info,"1.3194, 0.9595, 1.0915",1.0915,404
adm,"0.9532, 0.9512, 1.2122",0.9532,404
mysql,"3.0841, 1.0435, 1.1201",1.1201,404
user,"1.0911, 1.0718, 0.9159",1.0718,404
administrator,"1.0913, 2.3122, 1.0155",1.0913,404
oracle,"0.9241, 0.9316, 0.9495",0.9316,404
ftp,"1.9347, 0.9396, 0.9402",0.9402,404
pi,"0.9233, 1.1487, 0.9485",0.9485,404
puppet,"1.1030, 0.9602, 0.9442",0.9602,404
ansible,"0.9965, 1.1353, 1.0316",1.0316,404
ec2-user,"0.9279, 0.9796, 5.9670",0.9796,404
vagrant,"1.1425, 1.0156, 0.9963",1.0156,404
azureuser,"1.0054, 1.1819, 0.9800",1.0054,404
academico,"0.9885, 1.0275, 1.8893",1.0275,404
acceso,"1.1359, 1.0504, 1.0280",1.0504,404
access,"0.9823, 1.1284, 1.3559",1.1284,404
accounting,"1.1553, 1.0040, 0.9841",1.0040,404
accounts,"0.9837, 0.9607, 0.9233",0.9607,404
acid,"1.0241, 6.1663, 1.1637",1.1637,404
activestat,"1.3279, 1.1998, 1.2322",1.2322,404
ad,"1.1438, 1.0756, 1.1164",1.1164,404
adam,"1.1906, 1.0052, 1.0353",1.0353,404
adkit,"2.1554, 1.0503, 0.9464",1.0503,404
carlos,"1.1839, 1.1326, 1.0990",1.1326,404
admin,"0.9481, 0.9878, 1.1197",0.9878,404
administracion,"1.0165, 2.6028, 1.0002",1.0165,404
administrador,"1.0645, 1.0239, 5.8403",1.0645,404
administrator,"1.0049, 0.9155, 1.1240",1.0049,404
administrators,"1.0278, 1.0560, 0.9121",1.0278,404
admins,"1.0677, 1.0121, 0.9432",1.0121,404
ads,"1.0133, 1.0124, 1.2558",1.0133,404
adserver,"0.9830, 1.1450, 1.0317",1.0317,404
adsl,"1.1634, 1.0481, 0.9797",1.0481,404
ae,"0.9598, 0.9886, 1.0828",0.9886,404
af,"1.0728, 1.0562, 0.9956",1.0562,404
affiliate,"1.0358, 0.9629, 1.1280",1.0358,404
affiliates,"0.9758, 1.0883, 1.0269",1.0269,404
afiliados,"1.2688, 1.0400, 2.4518",1.2688,404
ag,"0.9233, 1.1481, 1.1005",1.1005,404
agenda,"0.9714, 1.0510, 1.0182",1.0182,404
agent,"1.0191, 1.1192, 1.0402",1.0402,404
ai,"1.0708, 1.0460, 1.0027",1.0460,404
aix,"1.0414, 1.2667, 1.3283",1.2667,404
ajax,"1.0718, 1.0991, 1.2129",1.0991,404
ak,"1.0480, 0.9962, 1.1229",1.0480,404
akamai,"1.0885, 1.1999, 1.0714",1.0885,404
al,"1.0165, 1.1117, 2.4758",1.1117,404
alabama,"1.1317, 1.1801, 1.0157",1.1317,404
alaska,"0.9816, 1.2947, 1.0798",1.0798,404
albuquerque,"1.0724, 1.1555, 0.9686",1.0724,404
alerts,"0.9472, 1.0323, 0.9077",0.9472,404
alpha,"1.0637, 1.1885, 1.1029",1.1029,404
alterwind,"0.9932, 0.9955, 1.1611",0.9955,404
am,"0.9757, 0.9818, 1.0783",0.9818,404
amarillo,"0.9239, 1.0038, 0.9236",0.9239,404
americas,"0.9637, 0.9768, 0.9875",0.9768,404
an,"1.1235, 0.9720, 1.0241",1.0241,404
anaheim,"1.0042, 0.9881, 1.1347",1.0042,404
analyzer,"1.0839, 1.0793, 1.1567",1.0839,404
announce,"6.0633, 0.9921, 1.2360",1.2360,404
announcements,"0.9755, 0.9879, 1.1391",0.9879,404
antivirus,"1.1425, 0.9149, 1.0760",1.0760,404
ao,"1.2502, 1.0766, 0.9869",1.0766,404
ap,"1.2032, 0.9922, 0.9239",0.9922,404
apache,"0.9279, 0.9276, 1.0826",0.9279,404
apollo,"1.0264, 0.9579, 0.9423",0.9579,404
app,"0.9926, 0.9636, 0.9998",0.9926,404
app01,"1.1283, 0.9315, 1.0363",1.0363,404
app1,"0.9958, 0.9839, 1.0200",0.9958,404
apple,"0.9278, 1.2191, 1.0286",1.0286,404
application,"1.1279, 1.2107, 0.9594",1.1279,404
applications,"1.0761, 1.1399, 1.0119",1.0761,404
apps,"1.1077, 1.0950, 1.1692",1.1077,404
appserver,"0.9712, 1.1322, 0.9643",0.9712,404
aq,"0.9956, 0.9756, 1.0917",0.9956,404
ar,"0.9800, 1.0842, 1.1952",1.0842,404
archie,"1.1476, 1.1037, 0.9161",1.1037,404
arcsight,"1.1503, 6.1822, 0.9955",1.1503,404
argentina,"6.0429, 0.9755, 1.0931",1.0931,404
arizona,"1.0242, 1.1705, 1.1661",1.1661,404
arkansas,"1.2312, 1.2213, 1.2058",1.2213,404
arlington,"1.0485, 1.1500, 1.2130",1.1500,404
